Zip Code,Poverty Level- People,People Rank,Poverty Level- Families,Familes Rank,Blended Poverty Rank
78701,9.4,17.0,1.0,27.0,22.0
78702,24.8,8.0,22.5,6.0,7.0
78703,7.3,21.0,2.4,23.0,22.0
78704,16.3,12.0,9.9,12.0,12.0
78705,64.9,1.0,28.7,1.0,1.0
78721,29.2,3.5,22.7,5.0,4.25
78722,14.0,14.0,12.9,11.0,12.5
78723,26.9,5.0,21.3,8.0,6.5
78727,6.2,22.0,4.3,17.0,19.5
78730,4.0,26.0,2.0,25.0,25.5
78731,8.9,18.0,3.4,20.0,19.0
78732,1.1,28.0,0.0,28.0,28.0
78733,2.2,27.0,1.6,26.0,26.5
78735,8.0,19.0,4.2,18.0,18.5
78741,34.9,2.0,28.3,2.0,2.0
78742,26.6,6.0,14.6,10.0,8.0
78744,26.4,7.0,24.7,4.0,5.5
78745,13.4,15.0,9.3,13.0,14.0
78746,4.5,25.0,2.7,21.0,23.0
78749,5.0,24.0,3.7,19.0,21.5
78750,7.4,20.0,4.8,16.0,18.0
78751,21.2,11.0,8.2,15.0,13.0
78752,29.2,3.5,27.0,3.0,3.25
78753,24.4,9.0,22.4,7.0,8.0
78756,9.9,16.0,2.1,24.0,20.0
78757,15.2,13.0,9.0,14.0,13.5
78758,22.7,10.0,20.2,9.0,9.5
78759,5.7,23.0,2.6,22.0,22.5
