Zip Code,Total Score,Total Population (18+)
78701,24.25,7098
78702,6.75,18003
78703,24.5,16739
78704,16.0,39370
78705,3.75,31595
78721,3.0625,9363
78722,16.25,6158
78723,7.625,24442
78727,17.25,23944
78730,22.875,6855
78731,21.375,21915
78732,23.25,10620
78733,23.875,6144
78735,18.875,13116
78741,3.5,42237
78742,6.5,613
78744,4.625,32628
78745,11.5,50423
78746,24.875,20723
78749,18.375,28895
78750,14.25,22894
78751,13.125,13205
78752,5.4375,14975
78753,7.5,40862
78756,21.5,7523
78757,16.375,19211
78758,9.875,36167
78759,18.875,33961
